Time,Open,High,Low,Close,Volume,UTCTime
1514764800000,13715.65000000,13715.65000000,13400.01000000,13529.01000000,443.35619900,2018-01-01T08:00+08:00[Asia/Shanghai]
1514768400000,13528.99000000,13595.89000000,13155.38000000,13203.06000000,383.69700600,2018-01-01T09:00+08:00[Asia/Shanghai]
1514772000000,13203.00000000,13418.43000000,13200.00000000,13330.18000000,429.06457200,2018-01-01T10:00+08:00[Asia/Shanghai]
1514775600000,13330.26000000,13611.27000000,13290.00000000,13410.03000000,420.08703000,2018-01-01T11:00+08:00[Asia/Shanghai]
1514779200000,13434.98000000,13623.29000000,13322.15000000,13601.01000000,340.80732900,2018-01-01T12:00+08:00[Asia/Shanghai]
1514782800000,13615.20000000,13699.00000000,13526.50000000,13558.99000000,404.22904600,2018-01-01T13:00+08:00[Asia/Shanghai]
1514786400000,13539.00000000,13800.00000000,13510.00000000,13780.41000000,264.98968400,2018-01-01T14:00+08:00[Asia/Shanghai]
1514790000000,13780.00000000,13818.55000000,13555.02000000,13570.35000000,292.18877700,2018-01-01T15:00+08:00[Asia/Shanghai]
1514793600000,13569.98000000,13735.24000000,13400.00000000,13499.99000000,271.81355300,2018-01-01T16:00+08:00[Asia/Shanghai]
1514797200000,13499.97000000,13670.00000000,13459.11000000,13616.99000000,213.09582900,2018-01-01T17:00+08:00[Asia/Shanghai]
1514800800000,13632.00000000,13657.92000000,13497.98000000,13570.01000000,169.51219600,2018-01-01T18:00+08:00[Asia/Shanghai]
1514804400000,13573.00000000,13589.89000000,13001.13000000,13220.56000000,665.33435300,2018-01-01T19:00+08:00[Asia/Shanghai]
1514808000000,13220.56000000,13300.00000000,13056.23000000,13172.42000000,260.49270800,2018-01-01T20:00+08:00[Asia/Shanghai]
1514811600000,13150.05000000,13200.41000000,12815.70000000,13017.00000000,451.90112600,2018-01-01T21:00+08:00[Asia/Shanghai]
1514815200000,12999.71000000,13245.00000000,12750.00000000,13211.39000000,692.46736200,2018-01-01T22:00+08:00[Asia/Shanghai]
1514818800000,13211.39000000,13330.00000000,13120.38000000,13247.00000000,427.07195700,2018-01-01T23:00+08:00[Asia/Shanghai]
1514822400000,13247.00000000,13247.08000000,12966.42000000,13018.00000000,367.39356600,2018-01-02T00:00+08:00[Asia/Shanghai]
1514826000000,13018.00000000,13198.98000000,13000.00000000,13022.00000000,228.57202800,2018-01-02T01:00+08:00[Asia/Shanghai]
1514829600000,13007.87000000,13256.28000000,12940.00000000,13135.00000000,244.36675500,2018-01-02T02:00+08:00[Asia/Shanghai]
1514833200000,13135.00000000,13290.65000000,13106.61000000,13240.37000000,252.00488500,2018-01-02T03:00+08:00[Asia/Shanghai]
1514836800000,13222.03000000,13472.00000000,13222.03000000,13399.24000000,412.02686800,2018-01-02T04:00+08:00[Asia/Shanghai]
1514840400000,13399.23000000,13580.67000000,13380.82000000,13481.01000000,326.92313500,2018-01-02T05:00+08:00[Asia/Shanghai]
1514844000000,13494.99000000,13599.70000000,13450.96000000,13452.00000000,303.30138500,2018-01-02T06:00+08:00[Asia/Shanghai]
1514847600000,13455.24000000,13500.00000000,13355.01000000,13380.00000000,345.21849500,2018-01-02T07:00+08:00[Asia/Shanghai]
1514851200000,13382.16000000,13850.00000000,13382.16000000,13750.01000000,466.59611400,2018-01-02T08:00+08:00[Asia/Shanghai]
1514854800000,13769.98000000,13800.00000000,13590.00000000,13600.00000000,517.46192500,2018-01-02T09:00+08:00[Asia/Shanghai]
1514858400000,13611.93000000,13678.33000000,13398.00000000,13522.00000000,714.53478100,2018-01-02T10:00+08:00[Asia/Shanghai]
1514862000000,13520.32000000,13539.98000000,13231.96000000,13353.78000000,666.94010600,2018-01-02T11:00+08:00[Asia/Shanghai]
1514865600000,13353.78000000,13480.84000000,12890.02000000,13127.31000000,992.41892700,2018-01-02T12:00+08:00[Asia/Shanghai]
1514869200000,13129.03000000,13244.99000000,13090.70000000,13166.95000000,600.00271100,2018-01-02T13:00+08:00[Asia/Shanghai]
1514872800000,13166.95000000,13338.66000000,13041.50000000,13255.98000000,722.31003500,2018-01-02T14:00+08:00[Asia/Shanghai]
1514876400000,13256.07000000,13359.98000000,13150.00000000,13343.00000000,665.58438000,2018-01-02T15:00+08:00[Asia/Shanghai]
1514880000000,13343.01000000,13440.00000000,13302.59000000,13326.09000000,745.64366300,2018-01-02T16:00+08:00[Asia/Shanghai]
1514883600000,13342.97000000,13523.46000000,13326.10000000,13452.00000000,511.54277000,2018-01-02T17:00+08:00[Asia/Shanghai]
1514887200000,13460.00000000,13617.28000000,13401.60000000,13560.00000000,654.45459100,2018-01-02T18:00+08:00[Asia/Shanghai]
1514890800000,13566.50000000,13573.00000000,13401.05000000,13490.00000000,684.54165000,2018-01-02T19:00+08:00[Asia/Shanghai]
1514894400000,13490.00000000,13590.00000000,13450.46000000,13489.04000000,671.20594300,2018-01-02T20:00+08:00[Asia/Shanghai]
1514898000000,13489.04000000,13875.00000000,13470.41000000,13864.98000000,1036.83633000,2018-01-02T21:00+08:00[Asia/Shanghai]
1514901600000,13864.95000000,13894.86000000,13630.00000000,13664.40000000,705.18072700,2018-01-02T22:00+08:00[Asia/Shanghai]
1514905200000,13661.21000000,13739.89000000,13510.00000000,13690.03000000,952.65650800,2018-01-02T23:00+08:00[Asia/Shanghai]
1514908800000,13690.02000000,13842.88000000,13584.99000000,13590.02000000,1020.85675600,2018-01-03T00:00+08:00[Asia/Shanghai]
1514912400000,13599.99000000,13799.65000000,13503.00000000,13780.00000000,817.50110500,2018-01-03T01:00+08:00[Asia/Shanghai]
1514916000000,13789.98000000,14750.00000000,13755.43000000,14580.00000000,1573.60355000,2018-01-03T02:00+08:00[Asia/Shanghai]
1514919600000,14576.87000000,15473.49000000,14480.00000000,14732.75000000,1678.31207200,2018-01-03T03:00+08:00[Asia/Shanghai]
1514923200000,14710.02000000,15160.31000000,14710.00000000,14751.00000000,1150.52849200,2018-01-03T04:00+08:00[Asia/Shanghai]
1514926800000,14751.00000000,14944.99000000,14544.00000000,14692.40000000,906.84382100,2018-01-03T05:00+08:00[Asia/Shanghai]
1514930400000,14700.00000000,15025.00000000,14685.01000000,14799.96000000,858.18527300,2018-01-03T06:00+08:00[Asia/Shanghai]
1514934000000,14799.97000000,14887.08000000,14600.00000000,14675.11000000,764.34988100,2018-01-03T07:00+08:00[Asia/Shanghai]
1514937600000,14690.00000000,14926.22000000,14660.00000000,14774.53000000,661.46861600,2018-01-03T08:00+08:00[Asia/Shanghai]
1514941200000,14758.01000000,14853.53000000,14660.00000000,14820.00000000,788.31751400,2018-01-03T09:00+08:00[Asia/Shanghai]
1514944800000,14847.97000000,15119.90000000,14744.99000000,15008.07000000,822.85885200,2018-01-03T10:00+08:00[Asia/Shanghai]
1514948400000,15008.07000000,15299.99000000,14750.00000000,14818.49000000,1031.18860800,2018-01-03T11:00+08:00[Asia/Shanghai]
1514952000000,14805.81000000,15117.56000000,14795.05000000,15019.66000000,781.02134200,2018-01-03T12:00+08:00[Asia/Shanghai]
1514955600000,15031.01000000,15114.98000000,14900.00000000,14988.00000000,860.38317700,2018-01-03T13:00+08:00[Asia/Shanghai]
1514959200000,14980.89000000,15276.13000000,14858.01000000,15242.63000000,908.68769600,2018-01-03T14:00+08:00[Asia/Shanghai]
1514962800000,15242.64000000,15307.56000000,15130.24000000,15170.00000000,661.60985200,2018-01-03T15:00+08:00[Asia/Shanghai]
1514966400000,15170.00000000,15172.99000000,14900.00000000,15002.59000000,895.93475800,2018-01-03T16:00+08:00[Asia/Shanghai]
1514970000000,15002.59000000,15048.00000000,14440.00000000,14519.99000000,1241.90477600,2018-01-03T17:00+08:00[Asia/Shanghai]
1514973600000,14501.05000000,14855.00000000,14150.00000000,14455.55000000,1271.03401800,2018-01-03T18:00+08:00[Asia/Shanghai]
1514977200000,14455.55000000,14771.84000000,14200.00000000,14730.05000000,793.92939000,2018-01-03T19:00+08:00[Asia/Shanghai]
1514980800000,14764.73000000,14799.00000000,14400.04000000,14450.00000000,614.53495500,2018-01-03T20:00+08:00[Asia/Shanghai]
1514984400000,14469.00000000,14890.00000000,14401.07000000,14855.02000000,380.59293200,2018-01-03T21:00+08:00[Asia/Shanghai]
1514988000000,14859.98000000,15045.51000000,14758.00000000,14790.11000000,581.69055700,2018-01-03T22:00+08:00[Asia/Shanghai]
1514991600000,14812.97000000,15033.77000000,14790.13000000,15033.77000000,505.91568100,2018-01-03T23:00+08:00[Asia/Shanghai]
1514995200000,15045.00000000,15130.00000000,14901.93000000,15010.06000000,477.86695900,2018-01-04T00:00+08:00[Asia/Shanghai]
1514998800000,15011.00000000,15057.20000000,14779.83000000,14800.00000000,389.08009300,2018-01-04T01:00+08:00[Asia/Shanghai]
1515002400000,14800.00000000,14899.86000000,14697.99000000,14749.97000000,430.99928600,2018-01-04T02:00+08:00[Asia/Shanghai]
1515006000000,14710.00000000,14846.13000000,14671.00000000,14700.01000000,361.75101500,2018-01-04T03:00+08:00[Asia/Shanghai]
1515009600000,14700.01000000,14950.00000000,14683.00000000,14926.01000000,343.67788100,2018-01-04T04:00+08:00[Asia/Shanghai]
1515013200000,14939.11000000,14990.00000000,14830.00000000,14926.96000000,191.63631600,2018-01-04T05:00+08:00[Asia/Shanghai]
1515016800000,14926.96000000,14949.00000000,14799.64000000,14799.91000000,260.65916500,2018-01-04T06:00+08:00[Asia/Shanghai]
1515020400000,14792.32000000,14940.82000000,14710.00000000,14919.51000000,648.92420000,2018-01-04T07:00+08:00[Asia/Shanghai]
1515024000000,14919.51000000,14948.00000000,14710.25000000,14753.76000000,820.84674000,2018-01-04T08:00+08:00[Asia/Shanghai]
1515027600000,14765.65000000,15179.00000000,14649.99000000,15172.12000000,1181.62726300,2018-01-04T09:00+08:00[Asia/Shanghai]
1515031200000,15175.00000000,15280.00000000,15059.00000000,15110.90000000,1055.42646200,2018-01-04T10:00+08:00[Asia/Shanghai]
1515034800000,15110.90000000,15119.98000000,15110.90000000,15119.97000000,4.63518100,2018-01-04T11:00+08:00[Asia/Shanghai]
1515042000000,15119.97000000,15119.97000000,14730.00000000,14875.10000000,888.84395100,2018-01-04T13:00+08:00[Asia/Shanghai]
1515045600000,14890.00000000,15100.00000000,14850.01000000,14899.01000000,867.61839200,2018-01-04T14:00+08:00[Asia/Shanghai]
1515049200000,14899.01000000,14900.00000000,14685.00000000,14748.00000000,1083.43809900,2018-01-04T15:00+08:00[Asia/Shanghai]
1515052800000,14734.07000000,14800.00000000,14211.69000000,14221.05000000,1207.56804200,2018-01-04T16:00+08:00[Asia/Shanghai]
1515056400000,14221.05000000,14410.05000000,13918.04000000,14299.01000000,1121.48775000,2018-01-04T17:00+08:00[Asia/Shanghai]
1515060000000,14299.01000000,14523.94000000,14214.80000000,14429.00000000,1037.04076300,2018-01-04T18:00+08:00[Asia/Shanghai]
1515063600000,14427.00000000,14571.78000000,14280.00000000,14539.97000000,973.45549600,2018-01-04T19:00+08:00[Asia/Shanghai]
1515067200000,14539.99000000,14653.40000000,14181.88000000,14398.97000000,915.40859400,2018-01-04T20:00+08:00[Asia/Shanghai]
1515070800000,14398.97000000,14600.02000000,14360.01000000,14518.95000000,872.81845600,2018-01-04T21:00+08:00[Asia/Shanghai]
1515074400000,14518.95000000,14600.80000000,14404.99000000,14513.06000000,962.79887200,2018-01-04T22:00+08:00[Asia/Shanghai]
1515078000000,14501.05000000,14534.58000000,14270.01000000,14353.01000000,1209.80526300,2018-01-04T23:00+08:00[Asia/Shanghai]
1515081600000,14367.99000000,14494.99000000,14238.01000000,14469.97000000,1129.73062200,2018-01-05T00:00+08:00[Asia/Shanghai]
1515085200000,14469.97000000,14648.89000000,14400.97000000,14648.89000000,865.62827400,2018-01-05T01:00+08:00[Asia/Shanghai]
1515088800000,14648.00000000,14864.00000000,14630.00000000,14811.00000000,779.04976400,2018-01-05T02:00+08:00[Asia/Shanghai]
